Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Armenia,ARM,,,,,,,,,,,,4000000,,,,,,,,,,,,,
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,7000000,129000000,341000000,63000000,452000000,293000000,49000000,63000000,57000000,19000000,53000000,43000000,6000000,224000000,41000000,159000000,96000000,65000000,268000000,68000000,142000000,152000000,50000000,45000000,115000000
Estonia,EST,,8000000,,,,,,,,,,,,,,,,,,,0,,,,
Georgia,GEO,,,,,46000000,69000000,,69000000,,16000000,,,,,,,,,,,,6000000,7000000,,
Kazakhstan,KAZ,13000000,12000000,3000000,6000000,183000000,19000000,12000000,,,5000000,,6000000,,,,,,,,,,,,,
Kyrgyz Republic,KGZ,57000000,,,,,,,,92000000,,,18000000,18000000,14000000,,,,,,,4000000,5000000,5000000,,
Lithuania,LTU,,,,,,,,3000000,,,,,,,,,,,,,,,,60000000,
Latvia,LVA,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,,,217000000,,,6000000,42000000,60000000,13000000,,18000000,3000000,19000000,29000000,20000000,,11000000,,,,,,,,
Tajikistan,TJK,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,UKR,167000000,256000000,558000000,708000000,732000000,270000000,511000000,310000000,306000000,199000000,291000000,531000000,644000000,392000000,433000000,485000000,570000000,1501000000,674000000,622000000,343000000,486000000,307000000,195000000,91000000
Uzbekistan,UZB,,,,,,,,,252000000,126000000,4000000,,,,209000000,209000000,209000000,,,,34000000,68000000,,,
Russian Federation,RUS,3891000000,3571000000,3347000000,2040000000,4264000000,4503000000,5291000000,5746000000,5169000000,6288000000,5229000000,5159000000,5535000000,6253000000,5066000000,6275000000,8730000000,8261000000,7986000000,5527000000,5990000000,6841000000,6015000000,6506000000,4718000000
European Union,EUU,525900000,626909090.9,775000000,671166666.7,536666666.7,442333333.3,430416666.7,407272727.3,431750000,375533333.3,489400000,562937500,528631578.9,459529411.8,490529411.8,419312500,469411764.7,315666666.7,375388888.9,470176470.6,428888888.9,485117647.1,480055555.6,353529411.8,589000000
World,WLD,523500000,530200000,614148936.2,678317073.2,629600000,439295454.5,456560975.6,388239130.4,500736842.1,464000000,489545454.5,468132075.5,605477272.7,547909090.9,550795454.5,612880952.4,654369565.2,721871794.9,661536585.4,642785714.3,649818181.8,664851063.8,656854166.7,630720930.2,734432432.4
