Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Armenia,ARM,47000000,70000000,,,2000000,,,,,118000000,,,1000000,,46000000,52000000,5000000,,16000000,,,110000000,18000000,,248000000
Azerbaijan,AZE,,,,,,3000000,,89000000,,4000000,53000000,159000000,213000000,33000000,145000000,155000000,557000000,339000000,404000000,612000000,335000000,274000000,275000000,322000000,25000000
Belarus,BLR,,,,41000000,41000000,,,,,,6000000,140000000,,,3000000,,75000000,75000000,75000000,66000000,96000000,115000000,147000000,142000000,331000000
Estonia,EST,17000000,1000000,12000000,4000000,1000000,27000000,,1000000,13000000,8000000,20000000,7000000,19000000,29000000,43000000,13000000,1000000,2000000,18000000,2000000,18000000,29000000,33000000,17000000,30000000
Georgia,GEO,,,4000000,28000000,23000000,6000000,85000000,,1000000,37000000,92000000,97000000,161000000,132000000,38000000,,2000000,,5000000,1000000,,,7000000,39000000,4000000
Kazakhstan,KAZ,99000000,2000000,64000000,,72000000,121000000,139000000,20000000,,47000000,42000000,44000000,82000000,25000000,39000000,58000000,62000000,94000000,141000000,95000000,444000000,248000000,214000000,304000000,312000000
Kyrgyz Republic,KGZ,,,,,,,,,9000000,5000000,3000000,2000000,,,,,,,,,4000000,9000000,13000000,1000000,15000000
Lithuania,LTU,4000000,15000000,,15000000,5000000,6000000,16000000,12000000,1000000,47000000,9000000,52000000,4000000,27000000,27000000,8000000,1000000,1000000,73000000,3000000,13000000,28000000,45000000,6000000,39000000
Latvia,LVA,14000000,0,0,0,4000000,3000000,13000000,3000000,25000000,12000000,4000000,9000000,51000000,44000000,11000000,15000000,27000000,9000000,5000000,5000000,1000000,24000000,29000000,19000000,25000000
Moldova,MDA,9000000,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,TJK,,,,,,,,,,,,13000000,7000000,,34000000,,,,3000000,,,8000000,19000000,3000000,3000000
Turkmenistan,TKM,,,,,,,,,18000000,21000000,,,,7000000,36000000,27000000,236000000,113000000,71000000,74000000,172000000,428000000,92000000,,
Ukraine,UKR,,,,,,,,,,,,,,,,,,,,1000000,23000000,5000000,,65000000,14000000
Uzbekistan,UZB,,,,,,,8000000,9000000,,,,,,,,30000000,,,,17000000,100000000,56000000,,131000000,53000000
Russian Federation,RUS,,,,,,,,,,,,4000000,100000000,,8000000,25000000,10000000,121000000,183000000,218000000,85000000,145000000,93000000,26000000,
European Union,EUU,227230769.2,208571428.6,257769230.8,346642857.1,205800000,234357142.9,230642857.1,174307692.3,317428571.4,157272727.3,106375000,183272727.3,239320000,162478260.9,161440000,136384615.4,82708333.33,95760000,97904761.9,72173913.04,108454545.5,103000000,105400000,80956521.74,88333333.33
World,WLD,212735294.1,213857142.9,238445544.6,241010101,227339805.8,179980769.2,189416666.7,179357142.9,203408602.2,212414141.4,192981481.5,225934579.4,242100000,229628571.4,204844827.6,215495798.3,257827586.2,225455284.6,221258333.3,217235294.1,232683333.3,259250000,276687500,236885964.9,226647058.8
