Country Name,Country Code,2015,2016,2017,2018,2019
Armenia,ARM,4.35,4.36,4.375999928,4.321,4.559
Azerbaijan,AZE,5.212,5.291,5.234000206,5.201,5.208
Belarus,BLR,5.813,5.802,5.568999767,5.483,5.323
Estonia,EST,5.429,5.517,5.611000061,5.739,5.893
Georgia,GEO,4.297,4.252,4.285999775,4.34,4.519
Kazakhstan,KAZ,5.855,5.919,5.818999767,5.79,5.809
Kyrgyz Republic,KGZ,5.286,5.185,5.004000187,5.131,5.261
Lithuania,LTU,5.833,5.813,5.90199995,5.952,6.149
Latvia,LVA,5.098,5.56,5.849999905,5.933,5.94
Moldova,MDA,5.889,5.897,5.837999821,5.64,5.529
Tajikistan,TJK,4.786,4.996,5.040999889,5.199,5.467
Turkmenistan,TKM,5.548,5.658,5.822000027,5.636,5.247
Ukraine,UKR,4.681,4.324,4.096000195,4.103,4.332
Uzbekistan,UZB,6.003,5.987,5.971000195,6.096,6.174
Russian Federation,RUS,5.716,5.856,5.962999821,5.81,5.648
European Union,EUU,6.161,6.202,6.264,6.372,6.466
World,WLD,5.376,5.382,5.354,5.376,5.407
