Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Armenia,ARM,5850061875,6306590694,6628399567,7192322818,7536939293,8160045755,9139577172,10509650581,12203500269,13847909043,16264081042,18968092454,22146063391,24134635012,20889699218,21598045116,23085520248,27009096449,28500152360,29231468082,29166842741,31429192104,35676528915,38417341116,42057833683
Azerbaijan,AZE,18130578048,18702567635,20128527280,22390586001,24394687744,27708367369,31119426600,34595460526,38835124894,43571124846,57490995229,79645398628,1.03E+11,1.16E+11,1.27E+11,1.35E+11,1.36E+11,1.48E+11,1.62E+11,1.66E+11,1.44E+11,1.40E+11,1.39E+11,1.45E+11,1.50E+11
Belarus,BLR,39288001961,41127585825,46606182134,51089722708,53589487605,57965141851,62035672869,66196302880,72174548288,82603919630,93183621902,1.06E+11,1.18E+11,1.32E+11,1.34E+11,1.46E+11,1.57E+11,1.71E+11,1.79E+11,1.80E+11,1.71E+11,1.68E+11,1.74E+11,1.83E+11,1.89E+11
Estonia,EST,9281316687,9726483065,11149124704,11696751242,11705258559,13183686618,14334071471,16097518329,17987997014,19786074394,22523015211,26006907483,29721058985,30525885461,27509108594,29038702700,32890577600,34642139626,36432844586,38300194538,38669190378,41094057420,44555137203,48064476468,51486474644
Georgia,GEO,8776820847,9938530350,11173375040,11649960770,12157256784,12657517114,13556742830,14524990212,16430841736,17850911528,20172105907,22740224140,26288412643,27447928259,26647548479,28642799772,31404963201,36640112635,39451053058,43054252353,45035492645,47930061167,50662483514,54383410980,58173953153
Kazakhstan,KAZ,93708532660,95901486627,99213641751,98424035641,1.03E+11,1.15E+11,1.34E+11,1.49E+11,1.66E+11,1.87E+11,2.11E+11,2.41E+11,2.69E+11,2.83E+11,2.89E+11,3.14E+11,3.44E+11,3.70E+11,4.17E+11,4.27E+11,4.07E+11,4.24E+11,4.48E+11,4.78E+11,5.08E+11
Kyrgyz Republic,KGZ,6396322166,6974885669,7798663099,8053775881,8468736635,9129340048,9826070516,9979766408,10879736519,11957722707,12308557478,13074519435,14572681424,16104295065,16695427086,16810323180,18183659161,20287689142,23123731106,24986584384,25107317901,28459201788,31280403475,33221752010,35324483007
Lithuania,LTU,21492726075,22964402176,25270202755,27553343462,27565323899,29604692441,32805212034,36132747528,41214452085,44008465206,48263291602,53893968504,61698982117,66344339089,57437546514,62112596123,69113557961,73635737735,78911079132,82564270190,83730597415,88699845604,95659970670,1.00E+11,1.06E+11
Latvia,LVA,13642369950,14192922395,15730664530,16985720476,17666600812,18981986128,21077692576,23223235583,25192922037,27608294804,30977938494,34922333588,39883039015,42383912500,36273304548,36917843178,40760565612,43313156236,45672616675,47540328805,49103820600,51740645049,55332554898,59057492337,61600332701
Moldova,MDA,9406862521,9016135303,9322671046,8810827944,8636983076,9016173227,9775986405,10705207615,11623678408,12819921775,14210699085,15343499608,16228338897,17834433607,16892170693,18302326302,19771747984,21054653399,23960618216,25218452233,26233146017,29732362697,32101220496,34272120582,36074901315
Tajikistan,TJK,5987234628,5078686759,5253091229,5594446841,5885177286,6517591789,7298686712,8217670518,9285027299,10523815060,11572639724,12763228776,14123135122,15536794781,16264670006,17527119634,19217458990,21658600564,24403521791,27259901286,25291523268,26832854442,27435856244,30133335841,32808324374
Turkmenistan,TKM,14284730663,15520888676,13988637095,15150453939,17905114091,19306511216,20587025239,20966446360,22053898151,23780109940,27716902357,31689174538,36139178195,42257926348,45177464552,49908653557,58441023273,63516102658,68363227535,73746160883,76192141990,78516288827,81787812382,88908253419,
Ukraine,UKR,2.05E+11,1.88E+11,1.86E+11,1.84E+11,1.87E+11,2.02E+11,2.25E+11,2.41E+11,2.69E+11,3.09E+11,3.29E+11,3.64E+11,4.02E+11,4.19E+11,3.60E+11,3.78E+11,4.07E+11,4.26E+11,4.86E+11,4.62E+11,4.35E+11,4.76E+11,5.04E+11,5.34E+11,5.61E+11
Uzbekistan,UZB,46817577132,48485293378,51886080655,54726282066,57903628144,61468294110,65432135005,69108179330,73370997472,80958846732,89282580571,98838600791,1.11E+11,1.23E+11,1.34E+11,1.46E+11,1.61E+11,1.70E+11,1.80E+11,1.89E+11,1.99E+11,2.06E+11,2.11E+11,2.28E+11,2.45E+11
Russian Federation,RUS,8.33E+11,8.18E+11,8.43E+11,8.07E+11,8.71E+11,1.00E+12,1.07E+12,1.17E+12,1.34E+12,1.47E+12,1.70E+12,2.13E+12,2.38E+12,2.88E+12,2.77E+12,2.93E+12,3.26E+12,3.48E+12,3.74E+12,3.76E+12,3.53E+12,3.54E+12,3.82E+12,4.22E+12,4.28E+12
European Union,EUU,5.24E+11,5.44E+11,5.68E+11,5.95E+11,6.19E+11,6.62E+11,6.95E+11,7.25E+11,7.42E+11,5.12E+11,5.32E+11,5.77E+11,5.81E+11,6.10E+11,5.98E+11,6.19E+11,6.46E+11,6.58E+11,6.62E+11,6.83E+11,7.06E+11,7.49E+11,7.90E+11,8.20E+11,8.59E+11
World,WLD,2.05E+11,2.17E+11,2.28E+11,2.36E+11,2.47E+11,2.55E+11,2.66E+11,2.78E+11,2.93E+11,3.15E+11,3.40E+11,3.70E+11,4.01E+11,4.22E+11,4.24E+11,4.52E+11,4.79E+11,5.07E+11,5.29E+11,5.54E+11,5.69E+11,5.91E+11,6.24E+11,6.64E+11,7.40E+11
