Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Armenia,ARM,,,,,36.2,,35.4,34.8,33,37.5,36,29.7,31.2,29.2,28,30,29.4,29.6,30.6,31.5,32.4,32.5,33.6
Azerbaijan,AZE,34.7,,,,,,36.5,25.3,26.8,26.6,26.6,,,,,,,,,,,,
Belarus,BLR,,,,32,31.7,31.2,30.6,30.3,28.8,26.5,27.6,28.3,29.6,27.8,27.7,28.6,27.2,26.5,26.6,27.2,25.6,25.3,25.4
Estonia,EST,,,,,,,,,37.2,33.6,33.4,33.7,31.2,31.9,31.4,32,32.5,32.9,35.1,34.6,32.7,31.2,30.4
Georgia,GEO,,37.1,40.7,41.3,40.1,40.5,39.6,37.2,36.7,36.2,37.4,36.9,38.1,38.5,38.2,39.5,39.6,39,38.6,37.6,36.5,36.6,37.9
Kazakhstan,KAZ,,35.4,,,,,36,34.8,33.7,31.8,39.8,30.2,30.1,28.5,28.2,28,28,28.2,27.1,27,26.8,27.2,27.5
Kyrgyz Republic,KGZ,,,,46.4,,31,30.2,30.3,28.7,34.8,32.6,37.4,33.9,31.5,29.9,30.1,27.8,27.4,28.8,26.8,29,26.8,27.3
Lithuania,LTU,,,,,,,,,,37,35.3,34.4,34.8,35.7,37.2,33.6,32.5,35.1,35.3,37.7,37.4,38.4,37.3
Latvia,LVA,31,31.6,,,,,,,,36.4,39,35.6,37.5,37.2,36,35,35.8,35.2,35.5,35.1,34.2,34.3,35.6
Moldova,MDA,,,36.9,39.5,42.6,36.4,38,35.8,34.9,35,36.3,35.4,34.4,34.7,32.9,32.1,30.6,29.2,28.5,26.8,27,26.3,25.9
Tajikistan,TJK,,,,,29.5,,,,32.7,33.6,,,32.2,,30.8,,,,,,34,,
Turkmenistan,TKM,,,,40.8,,,,,,,,,,,,,,,,,,,
Ukraine,UKR,39.3,35.2,,,,,,29,28.7,28.9,29,29.8,27,26.6,25.3,24.8,24.6,24.7,24.6,24,25.5,25,26
Uzbekistan,UZB,,,,44.7,,36.1,,33,35.3,,,,,,,,,,,,,,
Russian Federation,RUS,,46.1,38.4,38.1,37.4,37.1,36.9,37.3,40,40.3,41.3,41,42.3,41.6,39.8,39.5,39.7,40.7,40.9,39.9,37.7,36.8,37.2
European Union,EUU,31.11818182,35.6,29.06666667,32.5,32.55,30.6,30.3,29.9,30.68461538,31.42916667,31.5,30.812,31.31851852,31.17037037,31.22222222,31.24814815,31.33333333,31.72692308,32.12142857,31.9,31.80357143,31.63571429,31.49583333
World,WLD,38.33333333,43.790625,43.68214286,44.15263158,43.52424242,40.74791667,43.36,42.314,39.50357143,38.11527778,39.17333333,37.65342466,36.68309859,37.475,37.58441558,36.53855422,36.20131579,36.44936709,36.53947368,36.64875,36.81375,36.37894737,36.16515152
