Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Armenia,ARM,111182285.2,168201671.1,239225950.4,293162998.7,303511811.2,314200332.8,329632780.1,430974325.4,501977062.1,547758869.6,669480407.7,1071917964,1659090453,1406800823,2003623408,1865824297,1932471999,1799374399,2251610255,1489443371,1775293494,2204113991,2314113951,2259321869,2849645182
Azerbaijan,AZE,120884190.9,213661231.4,467319243.5,448540667.5,672589591.9,679605504.1,724979353.9,720471772.5,802839749.2,1075084293,1177743664,2500372956,4273114882,6467239211,5363850354,6409059730,10273925785,11277345749,15175667724,15816416601,7319394112,6573862903,6680532217,6665989936,7042996710
Belarus,BLR,377020387.9,469150024.1,393699160.8,702756649.1,294270277.3,350495841.3,390676493.5,687361275.1,636538852.3,836974642.7,1341819427,1386410521,4178575862,3063153365,5640214197,5025440612,7863285897,8094992776,6654216940,5067715364,4172797260,4907608003,7315236709,7157559690,9393817369
Estonia,EST,583006266.3,639770386.8,760039371.1,812906422.6,855813709.2,922839655.6,822453577.6,1003157301,1376698670,1791730277,1947311947,2786325227,3269362367,3971834389,3980641013,2567138087,207115695.5,300659803.2,314406126.7,436832954.5,414798362.4,352140743.4,345036507.9,755005588.3,1426439025
Georgia,GEO,198511607,191373447.2,201708671.4,132881224.2,144363950.6,115965903.6,161941585.5,202176074.1,196198029.7,386676416.9,478637800.6,930833393.9,1361156504,1480157559,2110323626,2263794873,2818191101,2872949024,2823383516,2699169280,2520721328,2756383663,3038762324,3289463517,3505823162
Kazakhstan,KAZ,1659893119,1960072974,2222793380,1965445686,2000928642,2098969799,2505883853,3140845035,4962118090,9276665297,7069707374,19127059972,17641023630,19883105671,23183086501,28264709323,29215275561,28299368221,24691645318,29250310668,27854795819,29603056785,30746770568,30976612439,28957509931
Kyrgyz Republic,KGZ,133632964.2,140200583.8,194284986.6,187664170.5,253802267.8,261849461.3,286507193.6,317331858,399268624.1,564545759.3,612352822.7,817170020,1176500794,1225137056,1584332498,1720378724,1831422016,2066679059,2238390588,1957488937,1777941002,1967811283,2177013757,2156976620,2428567694
Lithuania,LTU,828984702.1,841037129.8,1064038338,1462691407,1249084977,1362679200,1669177341,2413140714,3449667625,3593962686,3815556165,5772525484,7711952181,6442845969,6623187501,6598353674,8201664834,8529340677,8072525981,8729460563,1697150154,2599864855,4449678813,5770956097,5085045225
Latvia,LVA,602076773.4,746119784,832492440.4,872976182.6,944355647.7,919162856.3,1217482763,1326623372,1536170568,2020863043,2359714949,4511469902,5760724075,5243938989,6902262691,7605713124,6378031225,7524707960,7895272080,3228078825,3445996161,3511946855,4613455661,4370730736,4479621404
Moldova,MDA,257008836,311957990.3,365985641.7,143562514.4,185700972.2,222490325.1,228532262.2,268855942.3,302270799.1,470258874.8,597448067.5,775478572,1333684647,1672406461,1480265227,1717685353,1965325535,2515016645,2820638986,2156677861,1756772270,2205927463,2803268842,2995238116,3059660617
Tajikistan,TJK,,,38865839.94,55881641.42,57433087.01,94280831.93,94282905.71,89508809.94,117567950.1,172081994.8,188914218.3,203823197.2,85217536.02,163514355,254940310.8,403106833.9,518942135.2,630690451.2,661311872.5,512645031.2,493391433,644763434.4,1291955731,1284070863,1466304531
Turkmenistan,TKM,1168007400,1169007160,1256006717,1376007009,1513006832,,,,,,,,,,,,,,,,,,,,
Ukraine,UKR,1068754172,1971655947,2358910867,792954526.7,1093527812,1477202336,3088921703,4462353859,6946076994,9718436096,19388177691,22359564313,32483841813,31543343237,26500887342,34571298928,31788750907,24552796497,20413621999,7538804512,13300880765,15537256304,18810931197,20817897004,25317002927
Uzbekistan,UZB,,,,,1242300741,,,,,,,,,,,,,,22501939341,24195780634,24287333270,26284410687,28070940955,27077105981,29291325502
Russian Federation,RUS,18023640710,16257617319,17624090270,12042972908,12325102379,27656266696,36302524269,48325637167,78409347971,1.26E+11,1.82E+11,3.04E+11,4.79E+11,4.26E+11,4.39E+11,4.79E+11,4.97E+11,5.38E+11,5.10E+11,3.86E+11,3.68E+11,3.77E+11,4.33E+11,4.69E+11,5.55E+11
European Union,EUU,34711054856,35841382523,33494022324,36017717328,28626288665,27169892671,25567121346,29203526308,30480820138,23247096575,23045545620,25740413788,30488556898,30317328983,38549304938,44363781277,47439873886,50689817731,44951346375,43538216437,41781741460,44032800581,49909487673,51064091162,54593322698
World,WLD,10277162294,11231762979,11040019233,11489926530,11692554124,12572805657,13208101496,15442953978,19241749846,23297466550,26613446246,32145829866,40950611857,44438736720,51709213024,58248272355,66101615857,70685470529,72265180883,71926319463,67216768775,66329307150,72496221191,72751561647,84111898462
