Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Armenia,ARM,175.9513255,18.68118564,13.96076412,8.672486324,0.64824576,-0.790883769,3.145904647,1.060049293,4.721553366,6.961261359,0.638928002,2.892356625,4.407360896,8.949953354,3.406766827,8.176361385,7.650008079,2.558020078,5.789667785,2.981308689,3.731691193,-1.403607559,0.969553269,2.52023382,1.443446608
Azerbaijan,AZE,411.7596418,19.79480281,3.674348097,-0.772697886,-8.525170005,1.805003037,1.547195902,2.77116472,2.23386493,6.708930428,9.679507319,8.328924829,16.66125777,20.8372929,1.463159974,5.73238743,7.852383768,1.068103014,2.418869884,1.389726358,4.009438267,12.44949552,12.93998411,2.263516857,2.608339565
Belarus,BLR,709.3460321,52.71207675,63.93736634,72.86971705,293.6787509,168.6202359,61.13493316,42.53754813,28.39783991,18.10824249,10.33887945,6.997129035,8.426752735,14.83787648,12.94565634,7.735748043,53.22869831,59.21973602,18.31226104,18.11955435,13.53448976,11.83658077,6.031837252,4.872302206,5.59815595
Estonia,EST,28.77661372,23.05034335,10.58187893,8.208333333,3.296110897,4.018489525,5.748279817,3.571912702,1.334991165,3.048111075,4.079714232,4.437620424,6.601326031,10.36235803,-0.078408311,2.97204512,4.981901315,3.933399873,2.78056659,-0.106175147,-0.492326007,0.148684908,3.417235495,3.436326884,2.277259312
Georgia,GEO,162.7171522,39.3575,7.087617629,3.566807813,19.19267582,4.063962014,4.646044421,5.5878373,0.837734532,5.656326362,8.247090431,9.160965084,9.244897456,9.999487616,1.727514611,7.110178975,8.542933333,-0.943658853,-0.512058411,3.068812104,4.003578207,2.134927139,6.035317253,2.615244714,4.852898217
Kazakhstan,KAZ,,,,,,,,,,,,8.721693861,10.84683621,17.13989978,7.316078583,,,5.09791485,5.846409173,6.706578291,6.665776115,14.54602379,7.440004373,6.019130966,5.245476796
Kyrgyz Republic,KGZ,,31.94733772,23.43542785,10.45738258,37.03092584,18.70073428,6.919679894,2.134209863,2.974612952,4.110650847,4.338673918,5.552123332,10.23010327,24.52010242,6.836562481,7.967722256,16.63632627,2.768442365,6.613752024,7.534247298,6.50331839,0.388838297,3.175309864,1.542661452,1.133622577
Lithuania,LTU,39.64762903,24.62519539,8.881048485,5.067553858,0.727550627,0.981615479,1.367120308,0.28150661,-1.13430855,1.164102521,2.658484841,3.739120041,5.737173828,10.92588562,4.453044565,1.319213621,4.130275626,3.089982771,1.047479371,0.103758009,-0.884097406,0.905525075,3.722888623,2.697927792,2.33450938
Latvia,LVA,24.97593553,17.61046984,8.447383421,4.644214227,2.364818361,2.654254778,2.487040036,1.938875739,2.942647529,6.192385472,6.748450279,6.536199088,10.09297758,15.40231911,3.534106729,-1.08463595,4.370735599,2.257789244,-0.029454778,0.620490637,0.174242244,0.140633335,2.930363124,2.534454242,2.811409201
Moldova,MDA,29.86561041,23.5056773,11.77283245,7.695765175,39.25598069,31.29930158,9.764662858,5.301243903,11.74607921,12.52427684,11.95918372,12.77775578,12.36716684,12.78304726,-0.062718597,7.483850864,7.687251034,4.546334274,4.597878974,5.088785546,9.676240331,6.35930898,6.570229975,3.045053973,4.837783514
Tajikistan,TJK,,,,,,,38.59188946,12.24998478,16.3034912,7.141965082,7.091932448,10.01086518,13.14912472,20.4705219,6.448234814,6.419565091,12.43154904,5.83116601,5.009646453,6.104427651,5.714559496,6.004580823,,,
Turkmenistan,TKM,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,UKR,376.7461748,80.32550146,15.94059941,10.57716115,22.68367181,28.20309724,11.95880854,0.757420846,5.179677819,9.048067861,13.56957649,9.052524911,12.83877962,25.22646171,15.88119246,9.372931051,7.955724663,0.568727972,-0.238948626,12.07185629,48.69986464,13.9127102,14.43832275,10.95185594,7.886717456
Uzbekistan,UZB,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,197.4142681,47.7520122,14.76132927,27.68567981,85.7464941,20.79876066,21.47700721,15.78873079,13.66329302,10.88861573,12.68530395,9.668654548,9.007298689,14.11076778,11.64732958,6.849392303,8.440464859,5.074743008,6.753710262,7.823411839,15.53440505,7.04244763,3.683329444,2.878297236,4.470366608
European Union,EUU,2.974920429,2.492782334,1.946743658,1.646279701,1.496827114,2.607367534,2.89359679,2.480765179,2.16171036,2.671246872,2.518265093,2.715321129,3.494364045,5.345565486,1.174346666,1.970413894,3.363702573,2.724885507,1.276104438,0.208097856,-0.11387348,0.107824748,1.722957107,1.899826446,1.706148578
World,WLD,35.31065843,16.79760612,18.24586893,9.425103979,11.5852071,11.31316229,8.996810285,5.606600397,6.002068404,5.142978664,5.954655503,5.803433899,5.712802629,10.41091999,4.198530894,3.681617454,6.607046859,5.704210369,4.163754524,3.996416934,3.556628331,6.888779415,5.04292613,4.044185493,3.804309233
