Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Armenia,ARM,6.699999809,9.300000191,10.80000019,9.399999619,11.19999981,,,,,,,,9.812299728,22.97380066,18.43630028,19.00799942,18.4428997,17.30130005,16.17889977,17.49850082,18.26099968,17.61720085,17.7045002,18.96590042,
Azerbaijan,AZE,0.800000012,0.899999976,1.029999971,1.129999995,16.25,11.77999973,10.90999985,10.03999996,9.170000076,7.989999771,7.260000229,6.619999886,6.329999924,5.860000134,5.739999771,5.630000114,5.420000076,5.190000057,4.96999979,4.909999847,4.960000038,5,5,4.900000095,
Belarus,BLR,2.900000095,4,2.799999952,2.299999952,2.099999905,2.099999905,2.299999952,3,3.099999905,1.899999976,1.5,1.200000048,1,0.800000012,6.099999905,,0.600000024,0.5,0.5,0.5,1,5.840000153,5.650000095,4.760000229,
Estonia,EST,9.659000397,9.914999962,10.36919975,9.509799957,11.57310009,13.35980034,13.13449955,10.02610016,11.28759956,10.24779987,8.033100128,5.914700031,4.592000008,5.454899788,13.54819965,16.7071991,12.32769966,10.02110004,8.630700111,7.351799965,6.186600208,6.761700153,5.760399818,5.366000175,4.448200226
Georgia,GEO,,2.400000095,5,14.52999973,13.80000019,10.81999969,11.15999985,12.59000015,11.51000023,12.61999989,13.81000042,13.56999969,13.27999973,17.87000084,20.71019936,20.20269966,19.63170052,19.65309906,19.41580009,17.43849945,16.50589943,16.60390091,13.93889999,12.66699982,
Kazakhstan,KAZ,10.97999954,12.96000004,13.01000023,13.13000011,13.46000004,12.75,10.43000031,9.329999924,8.779999733,8.399999619,8.130000114,7.789999962,7.260000229,6.630000114,6.550000191,5.769999981,5.389999866,5.289999962,5.199999809,5.059999943,4.929999828,4.960000038,4.900000095,4.849999905,4.800000191
Kyrgyz Republic,KGZ,,,,,,7.539999962,7.840000153,12.55000019,9.920000076,8.529999733,8.109999657,8.270000458,8.100000381,8.220000267,8.409999847,8.640000343,8.529999733,8.430000305,8.329999924,8.050000191,7.559999943,7.210000038,6.889999866,4.537099838,
Lithuania,LTU,17.54000092,16.39999962,14.13000011,13.71100044,13.38759995,15.93109989,16.83959961,13.00800037,12.87450027,10.6843996,8.32460022,5.780399799,4.25,5.825900078,13.78499985,17.81410027,15.39039993,13.36480045,11.76990032,10.69810009,9.119999886,7.862100124,7.073200226,6.147099972,6.255199909
Latvia,LVA,,20.93000031,14.89999962,14.46350002,13.78969955,14.21080017,13.82110023,13.82890034,12.06110001,11.70839977,10.03299999,7.029699802,6.051599979,7.738900185,17.51469994,19.4822998,16.20639992,15.04669952,11.86740017,10.84630013,9.873000145,9.642900467,8.715000153,7.41230011,6.312099934
Moldova,MDA,,,,,11.14000034,8.460000038,7.289999962,6.800000191,7.949999809,8.170000076,7.289999962,7.380000114,5.070000172,3.980000019,6.400000095,7.446400166,6.682199955,5.577799797,5.104300022,3.856400013,3.694200039,4.184999943,4.097599983,4.112699986,5.098999977
Tajikistan,TJK,2,2.599999905,2.700000048,3.200000048,3,2.700000048,2.299999952,2.5,2.400000095,2,2,2.200000048,2.5,,11.5,,,,,,,6.900000095,,,
Turkmenistan,TKM,,,,,,,,,,,,,,,4,4,,,,,,,,,
Ukraine,UKR,5.619999886,7.650000095,8.930000305,11.31999969,11.86429977,11.70720005,11.06089973,10.13560009,9.056799889,8.590000153,7.179999828,6.810400009,6.350500107,6.36289978,8.840000153,8.100000381,7.851399899,7.528800011,7.170000076,9.270000458,9.140000343,9.350000381,9.5,8.79940033,8.19410038
Uzbekistan,UZB,0.400000006,,,,,0.400000006,0.400000006,0.400000006,0.300000012,0.400000006,0.300000012,0.200000003,0.300000012,0.400000006,5,5.400000095,5,4.900000095,4.900000095,5.099999905,5.199999809,5.199999809,5.800000191,9.300000191,
Russian Federation,RUS,9.449000359,9.664999962,11.81299973,13.26099968,13.03600025,10.58100033,8.977999687,7.875,8.210000038,7.763000011,7.124000072,7.054999828,6.001999855,6.204999924,8.300999641,7.368800163,6.53550005,5.436299801,5.457699776,5.160099983,5.570899963,5.55880022,5.212299824,4.845900059,4.595399857
European Union,EUU,9.853133361,9.900219886,9.427919912,8.749706602,8.005279954,7.007913319,6.152220003,6.523746729,6.947486639,8.461455956,8.102939987,7.204831972,6.349714791,6.282325895,8.906781532,10.04190365,9.963140735,10.61898526,11.14615355,10.48574642,9.632542934,8.663939416,7.594567878,6.556453594,5.95067857
World,WLD,8.690607088,8.869700889,9.320761753,8.980197485,9.191875312,8.552415157,9.050928794,9.504292411,9.091781903,8.892014962,8.58459167,7.935039805,7.76780404,7.869893686,8.733164313,8.616686461,8.331982788,8.906430787,8.712438495,8.217377397,8.326248387,8.049763598,8.1726814,7.639416844,7.408445132
